City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
88,Butaritari,KI,2021-08-07 22:08:38,3.0707,172.7902,82.42,67,11,14.65,few clouds
89,Yellowknife,CA,2021-08-07 22:08:09,62.456,-114.3525,67.55,55,100,16.26,overcast clouds
90,Carnarvon,AU,2021-08-07 22:11:56,-24.8667,113.6333,64.47,90,90,6.91,overcast clouds
91,Yar-Sale,RU,2021-08-07 22:08:10,66.8333,70.8333,55.76,85,17,12.03,few clouds
92,Te Anau,NZ,2021-08-07 22:07:36,-45.4167,167.7167,36.07,92,100,4.16,overcast clouds
93,Poso,ID,2021-08-07 22:08:10,-1.3959,120.7524,78.15,77,95,7.61,overcast clouds
94,Joshimath,IN,2021-08-07 22:08:11,30.5667,79.5667,70.88,88,92,0.49,overcast clouds
95,Duluth,US,2021-08-07 22:08:11,46.7833,-92.1066,66.18,94,90,1.01,overcast clouds
96,Cherskiy,RU,2021-08-07 22:11:57,68.75,161.3,59.11,42,56,4.25,broken clouds
97,Half Moon Bay,US,2021-08-07 22:11:57,37.4636,-122.4286,96.93,63,1,1.01,clear sky
98,Bouca,CF,2021-08-07 22:08:11,6.5105,18.2733,67.71,98,94,3.22,overcast clouds
99,Derzhavinsk,KZ,2021-08-07 22:11:57,51.1,66.3167,65.55,49,98,8.37,overcast clouds
100,Riviere-Au-Renard,CA,2021-08-07 22:08:12,48.9957,-64.3971,67.77,88,97,7.45,overcast clouds
101,Kodiak,US,2021-08-07 22:08:12,57.79,-152.4072,54.91,76,90,11.5,light rain
102,Albany,US,2021-08-07 22:07:16,42.6001,-73.9662,83.14,79,99,2.17,overcast clouds
103,Clacton-On-Sea,GB,2021-08-07 22:08:13,51.7897,1.156,61.79,88,74,8.01,broken clouds
104,Bama,NG,2021-08-07 22:08:13,11.5221,13.6856,74.61,82,80,7.74,broken clouds
105,Seoul,KR,2021-08-07 22:09:47,37.5683,126.9778,76.51,72,90,2.1,overcast clouds
106,Garowe,SO,2021-08-07 22:08:14,8.4054,48.4845,75.18,60,18,24.2,few clouds
107,Puerto Ayora,EC,2021-08-07 22:11:29,-0.7393,-90.3518,72.55,82,70,8.99,broken clouds
108,Okha,RU,2021-08-07 22:04:41,53.5739,142.9478,56.91,70,93,11.12,overcast clouds
109,Tuktoyaktuk,CA,2021-08-07 22:08:14,69.4541,-133.0374,41.95,76,100,13.31,overcast clouds
110,Dikson,RU,2021-08-07 22:11:59,73.5069,80.5464,49.15,74,10,9.1,clear sky
111,Chuy,UY,2021-08-07 22:12:00,-33.6971,-53.4616,62.89,83,7,6.08,clear sky
112,Ust-Nera,RU,2021-08-07 22:03:48,64.5667,143.2,67.3,49,46,1.36,scattered clouds
113,Boa Vista,BR,2021-08-07 22:12:00,2.8197,-60.6733,78.78,78,75,6.91,heavy intensity rain
114,Brae,GB,2021-08-07 22:08:15,60.3964,-1.353,57.11,92,100,19.06,overcast clouds
115,Aklavik,CA,2021-08-07 22:08:26,68.2191,-135.0107,47.57,59,98,7.94,overcast clouds
116,Hilo,US,2021-08-07 22:05:10,19.7297,-155.09,82.13,66,75,10.36,broken clouds
117,La Paz,BO,2021-08-07 22:08:16,-16.5,-68.15,53.15,36,3,3.47,clear sky
118,Adrar,MR,2021-08-07 22:12:02,20.5022,-10.0711,95.27,23,20,12.44,few clouds
119,Qaanaaq,GL,2021-08-07 22:07:50,77.484,-69.3632,41.61,76,98,1.57,overcast clouds
120,Hualmay,PE,2021-08-07 22:12:03,-11.0964,-77.6139,65.7,74,20,14.25,few clouds
121,Kharp,RU,2021-08-07 22:08:17,66.8014,65.8081,60.69,81,100,5.75,overcast clouds
122,Esfahan,IR,2021-08-07 22:03:50,32.6572,51.6776,74.84,20,56,7.58,broken clouds
123,Segou,ML,2021-08-07 22:08:17,13.4317,-6.2157,75.67,84,45,9.6,scattered clouds
124,Waingapu,ID,2021-08-07 22:05:53,-9.6567,120.2641,73.11,83,43,9.17,scattered clouds
