City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
164,Byron Bay,AU,62.55,few clouds,-28.65,153.6167,Backpackers Inn on the Beach
165,Vila Franca Do Campo,PT,70.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
166,Malakal,SS,72.55,overcast clouds,9.5334,31.6605,Nile Palace Hotel
169,Nikolskoye,RU,65.01,overcast clouds,59.7035,30.7861,Tourist House - Sablino
175,Voh,NC,70.52,overcast clouds,-20.9667,164.7,Le Vook
178,Fortuna,US,74.86,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
183,Saint-Francois,FR,62.04,clear sky,46.4154,3.9054,Manoir Du Bonheur
184,Monte Patria,CL,57.25,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
185,Saint-Paul,RE,69.89,clear sky,-21.0096,55.2707,Boucan Canot
188,Cabras,IT,74.07,scattered clouds,39.93,8.5314,Hotel Villa Canu
195,Cervo,ES,59.97,clear sky,43.6702,-7.4101,Hotel Spa Galatea
200,Pangody,RU,62.71,clear sky,65.85,74.4859,Elizaveta Shevchuk's House
202,Kruisfontein,ZA,55.4,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
204,Sumbe,AO,70.61,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
208,Namibe,AO,69.85,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
209,Souillac,MU,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
210,Akonolinga,CM,67.62,overcast clouds,3.7667,12.25,Le Diamant De Mireille
212,Athabasca,CA,68.83,overcast clouds,54.7169,-113.2854,Athabasca Lodge Motel
213,Pokhara,NP,72.18,moderate rain,28.2333,83.9833,Butterfly Lodge
217,Puerto Baquerizo Moreno,EC,70.02,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
218,Arraial Do Cabo,BR,69.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
222,Ginir,ET,62.51,broken clouds,7.1333,40.7,Sura Dare Village
237,Lysyanka,UA,58.86,clear sky,49.2523,30.8295,Ukrainian cuisine
